1965
[2, 3, 4, 6, 12] , 1
[2, 3, 6, 9, 12, 16, 36, 72, 144] , 2
[2, 3, 6, 9, 12, 18, 24, 48, 144] , 2
[2, 3, 6, 9, 12, 18, 48, 72, 144] , 2
[2, 3, 6, 9, 12, 24, 36, 48, 144] , 2
[2, 3, 6, 9, 12, 24, 48, 72, 144] , 2
[2, 3, 6, 9, 12, 27, 36, 54, 108] , 4
[2, 3, 6, 9, 12, 36, 48, 72, 144] , 2
[2, 3, 6, 9, 16, 18, 24, 36, 48] , 2
[2, 3, 6, 9, 16, 18, 24, 36, 144] , 2
[2, 3, 6, 9, 16, 18, 36, 48, 72] , 2
[2, 3, 6, 9, 16, 18, 36, 72, 144] , 2
[2, 3, 6, 9, 18, 24, 36, 48, 144] , 2
[2, 3, 6, 9, 18, 36, 48, 72, 144] , 2
[2, 3, 6, 10, 12, 15, 20, 30, 60] , 6
[2, 3, 6, 12, 16, 18, 24, 36, 144] , 2
[2, 3, 6, 12, 16, 18, 24, 72, 144] , 2
[2, 3, 6, 12, 16, 18, 36, 48, 72] , 2
[2, 3, 6, 12, 16, 18, 36, 72, 144] , 2
[2, 3, 6, 12, 16, 24, 32, 64, 192] , 1
[2, 3, 6, 12, 16, 24, 36, 72, 144] , 2
[2, 3, 6, 12, 16, 24, 64, 96, 192] , 1
[2, 3, 6, 12, 18, 24, 36, 48, 144] , 2
[2, 3, 6, 12, 18, 24, 48, 72, 144] , 2
[2, 3, 6, 12, 18, 27, 36, 54, 108] , 4
[2, 3, 6, 12, 18, 36, 48, 72, 144] , 2
[2, 3, 6, 12, 24, 32, 48, 64, 192] , 1
[2, 3, 6, 12, 24, 36, 48, 72, 144] , 2
[2, 3, 6, 12, 24, 48, 64, 96, 192] , 1
[2, 3, 8, 9, 12, 18, 24, 36, 72] , 2
[2, 4, 5, 6, 10, 12, 15, 20, 30] , 6
[2, 4, 5, 6, 10, 12, 15, 20, 60] , 6
[2, 4, 5, 6, 10, 12, 15, 30, 60] , 6
[2, 4, 5, 6, 10, 12, 20, 30, 60] , 6
[2, 4, 5, 6, 12, 15, 20, 30, 60] , 6
[2, 4, 5, 8, 10, 16, 20, 40, 80] , 6
[2, 4, 6, 8, 9, 12, 16, 18, 144] , 2
[2, 4, 6, 8, 9, 12, 16, 36, 144] , 2
[2, 4, 6, 8, 9, 12, 16, 72, 144] , 2
[2, 4, 6, 8, 9, 12, 18, 48, 144] , 2
[2, 4, 6, 8, 9, 12, 36, 48, 144] , 2
[2, 4, 6, 8, 9, 12, 48, 72, 144] , 2
[2, 4, 6, 8, 9, 16, 18, 24, 144] , 2
[2, 4, 6, 8, 9, 16, 18, 36, 48] , 2
[2, 4, 6, 8, 9, 16, 18, 48, 72] , 2
[2, 4, 6, 8, 9, 16, 18, 48, 144] , 2
[2, 4, 6, 8, 9, 16, 24, 36, 144] , 2
[2, 4, 6, 8, 9, 16, 24, 72, 144] , 2
[2, 4, 6, 8, 9, 16, 36, 48, 72] , 2
[2, 4, 6, 8, 9, 16, 36, 48, 144] , 2
[2, 4, 6, 8, 9, 16, 48, 72, 144] , 2
[2, 4, 6, 8, 9, 18, 24, 48, 144] , 2
[2, 4, 6, 8, 9, 24, 36, 48, 144] , 2
[2, 4, 6, 8, 9, 24, 48, 72, 144] , 2
[2, 4, 6, 9, 12, 16, 18, 24, 144] , 2
[2, 4, 6, 9, 12, 16, 18, 48, 72] , 2
[2, 4, 6, 9, 12, 16, 18, 72, 144] , 2
[2, 4, 6, 9, 12, 16, 24, 36, 144] , 2
[2, 4, 6, 9, 12, 16, 24, 72, 144] , 2
[2, 4, 6, 9, 12, 16, 36, 48, 72] , 2
[2, 4, 6, 9, 12, 16, 36, 72, 144] , 2
[2, 4, 6, 9, 12, 18, 24, 48, 144] , 2
[2, 4, 6, 9, 12, 18, 48, 72, 144] , 2
[2, 4, 6, 9, 12, 24, 36, 48, 144] , 2
[2, 4, 6, 9, 12, 24, 48, 72, 144] , 2
[2, 4, 6, 9, 12, 27, 36, 54, 108] , 4
[2, 4, 6, 9, 12, 36, 48, 72, 144] , 2
[2, 4, 6, 9, 16, 18, 24, 36, 48] , 2
[2, 4, 6, 10, 12, 15, 20, 30, 60] , 6
[2, 4, 6, 12, 18, 27, 36, 54, 108] , 4
[2, 4, 8, 9, 12, 16, 18, 24, 144] , 2
[2, 4, 8, 9, 12, 16, 18, 36, 48] , 2
[2, 4, 8, 9, 12, 16, 18, 48, 72] , 2
[2, 4, 8, 9, 12, 16, 18, 48, 144] , 2
[2, 4, 8, 9, 12, 16, 24, 36, 144] , 2
[2, 4, 8, 9, 12, 16, 24, 72, 144] , 2
[2, 4, 8, 9, 12, 16, 36, 48, 72] , 2
[2, 4, 8, 9, 12, 16, 36, 48, 144] , 2
[2, 4, 8, 9, 12, 16, 48, 72, 144] , 2
[2, 4, 8, 9, 12, 18, 24, 48, 144] , 2
[2, 4, 8, 9, 12, 24, 36, 48, 144] , 2
[2, 4, 8, 9, 12, 24, 48, 72, 144] , 2
[2, 4, 8, 9, 16, 18, 24, 36, 48] , 2
[2, 4, 8, 9, 16, 18, 24, 48, 72] , 2
[2, 4, 8, 9, 16, 18, 24, 48, 144] , 2
[2, 4, 8, 9, 16, 24, 36, 48, 72] , 2
[2, 4, 8, 9, 16, 24, 36, 48, 144] , 2
[2, 4, 8, 9, 16, 24, 48, 72, 144] , 2
[2, 4, 9, 12, 16, 18, 24, 36, 48] , 2
[2, 6, 8, 9, 12, 18, 24, 36, 72] , 2
[2, 3, 4, 5, 6, 8, 10, 15, 20, 40] , 6
[2, 3, 4, 5, 6, 8, 10, 15, 20, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 15, 30, 40] , 6
[2, 3, 4, 5, 6, 8, 10, 15, 30, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 15, 40, 60] , 6
[2, 3, 4, 5, 6, 8, 10, 15, 40, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 15, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 20, 30, 40] , 6
[2, 3, 4, 5, 6, 8, 10, 20, 30, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 20, 40, 60] , 6
[2, 3, 4, 5, 6, 8, 10, 20, 40, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 20, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 30, 40, 60] , 6
[2, 3, 4, 5, 6, 8, 10, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 30, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 10, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 15, 20, 30, 40] , 6
[2, 3, 4, 5, 6, 8, 15, 20, 30, 120] , 6
[2, 3, 4, 5, 6, 8, 15, 20, 40, 60] , 6
[2, 3, 4, 5, 6, 8, 15, 20, 40, 120] , 6
[2, 3, 4, 5, 6, 8, 15, 20, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 15, 30, 40, 60] , 6
[2, 3, 4, 5, 6, 8, 15, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 8, 15, 30, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 15, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 20, 30, 40, 60] , 6
[2, 3, 4, 5, 6, 8, 20, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 8, 20, 30, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 20, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 8, 30, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 20, 24, 40] , 6
[2, 3, 4, 5, 6, 10, 15, 20, 24, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 20, 40, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 24, 30, 40] , 6
[2, 3, 4, 5, 6, 10, 15, 24, 30, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 24, 40, 60] , 6
